step=1120 Jev -> move_backward | red_mean=60.7 | enemy_visible=no
step=1128 Jev -> move_backward | red_mean=56.4 | enemy_visible=no
step=1136 Jev -> move_backward | red_mean=54.5 | enemy_visible=no
step=1144 Jev -> move_backward | red_mean=51.3 | enemy_visible=no
step=1152 Jev -> move_backward | red_mean=48.8 | enemy_visible=no
step=1160 Jev -> move_backward | red_mean=55.5 | enemy_visible=no
step=1168 Jev -> move_backward | red_mean=56.3 | enemy_visible=no
step=1176 Jev -> move_backward | red_mean=54.5 | enemy_visible=no
step=1184 Jev -> move_backward | red_mean=56.6 | enemy_visible=no
step=1192 Jev -> move_backward | red_mean=54.8 | enemy_visible=no
step=1200 Jev -> move_backward | red_mean=55.5 | enemy_visible=no
step=1208 Jev -> move_backward | red_mean=56.3 | enemy_visible=no
